Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2017-1-PT01-KA103-035561,2018-2019,2018-02,2018-06,113.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",PT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21,PT,FARO,UNIVERSIDADE DO ALGARVE,P  FARO02,PL,POZNAN,UNIWERSYTET EKONOMICZNY W POZNANIU,PL POZNAN03,1.0
2018-1-AT01-KA103-038802,2018-2019,2018-06,2018-08,62.0,Student mobility for traineeships between Programme Countries,Food processing,AT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,AT,WIEN,UNIVERSITAET FUER BODENKULTUR WIEN,A  WIEN03,IE,Galway,NATIONAL UNIVERSITY OF IRELAND GALWAY,-,1.0
2014-2-UK01-KA105-001458,2015-2016,2015-01,2015-01,12.0,Youth Exchanges - Partner Countries,? Unknown ?,BY,??? - ? Unknown ?,Male,Learner,No,Yes,No,21,BY,Mogilev,Young leaders of Mogilev,-,AZ,SIRVAN,Association of Sirvan Youth,-,4.0
2017-1-FR01-KA103-035756,2017-2018,2017-09,2018-06,257.0,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,21,FR,GIF SUR YVETTE,CENTRALESUPELEC,F  GIF-YVE03,UK,CAMBRIDGE,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",UK CAMBRID01,1.0
2014-1-IT02-KA103-000159,2014-2015,2014-08,2015-07,320.0,Student mobility for studies between Programme Countries,Pharmacy,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,29,IT,FISCIANO SA,UNIVERSITA DEGLI STUDI DI SALERNO,I  SALERNO01,FR,CAEN CEDEX 05,UNIVERSITE DE CAEN BASSE-NORMANDIE,F  CAEN01,1.0
2016-3-IT03-KA105-009617,2017-2018,2017-05,2017-05,9.0,Youth Exchanges - Programme Countries,? Unknown ?,IT,??? - ? Unknown ?,Female,Learner,No,No,Yes,39,IT,Borgomanero,Vedogiovane Società Cooperativa Sociale,-,IT,Borgomanero,Vedogiovane Società Cooperativa Sociale,-,1.0
2017-2-DE04-KA105-015398,2017-2018,2017-08,2017-08,6.0,Youth Exchanges - Programme Countries,? Unknown ?,FR,??? - ? Unknown ?,Female,Learner,No,No,Yes,19,FR,MARMOUTIER,ASSOCIATION COMMUNES SANS FRONTIERES,-,DE,Sasbachwalden,Gemeinde Sasbachwalden,-,1.0
2014-1-LT01-KA103-000003,2014-2015,2014-09,2015-03,198.0,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,LT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,LT,VILNIUS,LIETUVOS MUZIKOS IR TEATRO AKADEMIJA,LT VILNIUS05,DE,LEIPZIG,UNIVERSITAET LEIPZIG,D  LEIPZIG01,1.0
2015-1-BG01-KA103-013920,2016-2017,2016-06,2016-07,5.0,Staff mobility for teaching between Programme Countries,"Business and administration, not further defined",BG,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,-,BG,SOFIA,NEW BULGARIAN UNIVERSITY,BG SOFIA02,IT,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,I  BOLOGNA01,1.0
2018-1-ES01-KA103-048125,2018-2019,2018-10,2019-07,290.0,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,ES,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,31,ES,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA,E  VALENCI02,DE,Bremen,UNIVERSITAET BREMEN,-,1.0
2019-1-LV01-KA101-060155,2019-2020,2019-12,2019-12,5.0,Structured Courses/Training Events,Psychology,LV,??? - ? Unknown ?,Female,Staff,No,No,No,61,LV,"Mārupe, Mārupes nov.","Marupes novada pirmsskolas izglitibas iestade ""Zeltriti""",-,CZ,Prāga,SHIPCON LIMASSOL LIMITED,-,1.0
2018-1-IT02-KA103-047026,2018-2019,2018-08,2018-12,121.0,Student mobility for studies between Programme Countries,Medicine,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,22,IT,MILANO,UNIVERSITA VITA-SALUTE SAN RAFFAELE,I  MILANO15,LV,RIGA,RIGAS STRADINA UNIVERSITATE,LV RIGA03,1.0
2014-1-PL01-KA103-000079,2015-2016,2015-05,2015-05,4.0,Staff mobility for teaching between Programme Countries,Architecture and town planning,PL,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Staff,No,No,No,-,PL,BIALYSTOK,POLITECHNIKA BIALOSTOCKA,PL BIALYST01,EL,VOLOS,PANEPISTIMIO THESSALIAS,G  VOLOS01,1.0
2015-1-DE01-KA103-001850,2016-2017,2016-02,2016-02,3.0,Staff mobility for teaching between Programme Countries,Architecture and town planning,NL,ISCED-9 - Not elsewhere classified,Male,Staff,No,No,No,-,NL,Amsterdam,Studio-Al,-,DE,HAMBURG,HAFENCITY UNIVERSITAT HAMBURG,D  HAMBURG12,1.0
2017-1-DE02-KA116-003885,2018-2019,2018-03,2018-03,12.0,VET learners traineeships in companies abroad,Dental studies,DE,ISCED-4 - Post-secondary non-tertiary education,Female,Learner,No,No,No,18,DE,Hamm,Friedrich-List-Berufskolleg,-,HU,Budapest,"Evergreen Dental Kft.,",-,1.0
2019-1-FR01-KA103-060155,2019-2020,2019-09,2020-07,309.0,Student mobility for studies between Programme Countries,Literature and linguistics,FR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,FR,MULHOUSE,UNIVERSITE DE HAUTE ALSACE UHA,F  MULHOUS01,IT,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,I  BOLOGNA01,1.0
2018-3-AT02-KA105-002215,2019-2020,2019-05,2019-05,8.0,Youth Exchanges - Partner Countries,? Unknown ?,ES,??? - ? Unknown ?,Male,Learner,No,No,No,22,ES,Alicante,Ticket2Europe,-,GE,Bakuriani,Masterpeace Eastern Partnership and Central Asia Regional Organization,-,1.0
2017-3-PL01-KA135-047098,2018-2019,2018-10,2019-06,273.0,European Voluntary Service - Programme Countries,? Unknown ?,FR,??? - ? Unknown ?,Female,Learner,No,No,No,21,FR,Lyon,CONCORDIA,-,PL,Kraków,Samorzadowe Przedszkole nr 121 z Oddzialami Integracyjnymi,-,1.0
2017-1-UK01-KA102-035942,2018-2019,2018-05,2018-06,14.0,VET learners traineeships in companies abroad,Engineering and engineering trades,UK,ISCED-4 - Post-secondary non-tertiary education,Male,Learner,No,No,No,32,UK,Grantham,Grantham College,-,DE,Arnsberg,Handwerkskammer Südwestfalen,-,1.0
2016-1-UK01-KA102-023573,2017-2018,2017-04,2017-04,6.0,Training/teaching assignments abroad,"Education, not further defined",UK,??? - ? Unknown ?,Female,Staff,No,No,No,57,UK,Mansfield,"West Nottinghamshire College of Further Education, Mansfield",UK MANSFIE01,FI,Jyväskylä,Jyväskylän koulutuskuntayhtymä,-,1.0
2017-1-HU01-KA103-035116,2018-2019,2018-04,2018-04,5.0,Staff mobility for training between Programme Countries,? Unknown ?,HU,??? - ? Unknown ?,Female,Staff,No,No,No,-,HU,Pécs,PECSI TUDOMANYEGYETEM - UNIVERSITY OF PECS,HU PECS01,CZ,Brno,Masarykova univerzita,CZ BRNO05,1.0
2018-2-UK01-KA105-048334,2018-2019,2018-10,2018-10,2.0,Advance Planning Visit – Youth Exchange,? Unknown ?,BY,??? - ? Unknown ?,Male,Learner,No,Yes,No,19,BY,Mogilev,Young leaders of Mogilev,-,BY,Mogilev,Young leaders of Mogilev,-,1.0
2018-2-UK01-KA105-048377,2019-2020,2019-02,2019-02,6.0,Youth Exchanges - Programme Countries,? Unknown ?,RO,??? - ? Unknown ?,Female,Learner,No,Yes,No,15,RO,CLUJ NAPOCA,ASOCIATIA BABILON TRAVEL,-,UK,OXFORD,IKKAIDO LTD,-,1.0
2016-1-EL01-KA103-022715,2017-2018,2017-02,2017-06,139.0,Student mobility for studies between Programme Countries,"Languages, not further defined",EL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,EL,ATHENS,ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON,G  ATHINE01,ES,MADRID,UNIVERSIDAD COMPLUTENSE DE MADRID,E  MADRID03,1.0
2014-1-HU01-KA103-002168,2015-2016,2015-04,2015-04,5.0,Staff mobility for teaching between Programme Countries,Law,HU,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Staff,No,No,No,-,HU,Gödöllő,SZENT ISTVAN UNIVERSITY,HU GODOLLO01,SK,Nitra,SLOVENSKA POL'NOHOSPODARSKA UNIVERZITA V NITRE,SK NITRA02,1.0
2015-1-IT02-KA103-013267,2015-2016,2015-09,2016-06,286.0,Student mobility for studies between Programme Countries,Biochemistry,IT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,IT,SASSARI,UNIVERSITA DEGLI STUDI DI SASSARI,I  SASSARI01,ES,Valencia,FUNDACION UNIVERSIDAD CATOLICA DE VALENCIA SAN VICENTE MARTIR,E  VALENCI11,1.0
2014-3-CY02-KA105-000384,2015-2016,2015-04,2015-05,6.0,Mobility of youth workers - Programme Countries,? Unknown ?,ES,??? - ? Unknown ?,Female,Staff,No,No,No,35,ES,Madrid,Asociación Building Bridges,-,CY,Nicosia,C.I.P Citizens In Power (PO.SI Polites se Ischy),-,1.0
2016-2-EL02-KA105-002578,2016-2017,2016-11,2016-11,11.0,Youth Exchanges - Programme Countries,? Unknown ?,EL,??? - ? Unknown ?,Male,Learner,No,No,Yes,27,EL,Keratsini,Europe Express,-,EL,Keratsini,Europe Express,-,1.0
2015-1-FI01-KA102-008823,2016-2017,2016-11,2016-11,5.0,Training/teaching assignments abroad,"Languages, not further defined",FI,??? - ? Unknown ?,Female,Staff,No,No,No,42,FI,Raisio,Raision seudun koulutuskuntayhtymä,-,DE,Papenburg,Berufsbildende Schulen Papenburg - gewerbliche und kaufmännische Fachrichtungen -,-,1.0
2017-1-FR01-KA103-035359,2018-2019,2018-01,2018-06,133.0,Student mobility for studies between Programme Countries,Management and administration,FR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,FR,ANGERS,Groupe ESSCA,F  ANGERS10,UK,LEEDS,UNIVERSITY OF LEEDS,UK LEEDS01,3.0
2016-1-FR01-KA103-022243,2017-2018,2017-05,2017-08,95.0,Student mobility for traineeships between Programme Countries,Biology,FR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21,FR,Paris,UNIVERSITE PARIS DIDEROT - PARIS 7,F  PARIS007,IT,Trieste,UNIVERSITA DEGLI STUDI DI TRIESTE,-,1.0
2015-1-PL01-KA102-015006,2016-2017,2016-07,2016-07,12.0,Staff training abroad,Transport services,PL,??? - ? Unknown ?,Female,Staff,No,No,No,45,PL,Cieszyn,Zespol Szkol w Cieszynie Zakladu Doskonalenia Zawodowego w Katowicach,-,ES,C�rdoba,EUROPROYECTOS LEONARDO DA VINCI S.L.,-,1.0
2017-1-AT01-KA116-034695,2017-2018,2017-06,2017-09,98.0,VET learners traineeships in companies abroad,Education,AT,ISCED-3 - Upper secondary education,Female,Learner,No,No,No,17,AT,St. Veit/Glan,HLW St. Veit/Glan,-,IE,Kenmare,Dromquinna Manor,-,2.0
2017-2-SI02-KA105-014308,2018-2019,2018-01,2018-02,10.0,Youth Exchanges - Programme Countries,? Unknown ?,SI,??? - ? Unknown ?,Female,Learner,No,No,No,22,SI,Murska Sobota,"Connect, drustvo za promocijo aktivnega drzavljanstva, socialno podjetje",-,SI,Murska Sobota,"Connect, drustvo za promocijo aktivnega drzavljanstva, socialno podjetje",-,1.0
2018-1-EE01-KA103-046835,2019-2020,2019-01,2019-01,4.0,Staff mobility for teaching between Programme Countries,"Architecture and construction, not further defined",EE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Staff,No,No,No,-,EE,TALLINN,TALLINNA TEHNIKAULIKOOL,EE TALLINN04,DE,Berlin,Hochschule für Technik und Wirtschaft Berlin,D  BERLIN14,1.0
2014-1-DE02-KA102-000376,2016-2017,2016-01,2016-02,14.0,VET learners traineeships in vocational institutes abroad,Training for pre-school teachers,DE,??? - ? Unknown ?,Male,Learner,No,No,No,50,DE,Berlin,Euro-Schulen gemeinnützige Gesellschaft für berufliche Bildung und Beschäftigung mbH,-,NL,Amsterdam,Stichting Regionaal Opleidingencentrum van Amsterdam,-,1.0
2019-1-RO01-KA105-061651,2019-2020,2019-09,2019-10,9.0,Youth Exchanges - Programme Countries,? Unknown ?,CZ,??? - ? Unknown ?,Male,Learner,No,Yes,No,17,CZ,Velké Pavlovice,FOUR LINKS Z.S.,-,RO,Balan,Asociatia Ecosportiva Sufletul Hasmasului,-,1.0
2016-1-BE02-KA103-017229,2017-2018,2017-02,2017-06,103.0,Student mobility for studies between Programme Countries,Training for pre-school teachers,BE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21,BE,GENT,ARTEVELDEHOGESCHOOL,B  GENT39,SI,KOPER,UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE,SI KOPER03,1.0
2014-1-DE01-KA103-000080,2014-2015,2014-08,2014-12,127.0,Student mobility for studies between Programme Countries,Engineering and engineering trades,DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24,DE,Duisburg and Essen,UNIVERSITAET DUISBURG-ESSEN,D  ESSEN04,FI,Tampere,TTY-SAATIO,SF TAMPERE02,1.0
2019-1-IT02-KA103-061759,2019-2020,2019-09,2020-06,272.0,Student mobility for studies between Programme Countries,Law,IT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,20,IT,MILANO,UNIVERSITA DEGLI STUDI DI MILANO,I  MILANO01,CZ,PILSEN,ZAPADOCESKA UNIVERZITA V PLZNI,CZ PLZEN01,1.0
2014-2-UK01-KA102-012263,2015-2016,2015-11,2015-12,7.0,Training/teaching assignments abroad,Business and administration,UK,??? - ? Unknown ?,Male,Staff,No,No,No,28,UK,Torquay,TELLUS LIMITED,-,IT,Caserta,012Factory - Laboratorio di Impresa,-,1.0
2018-1-UK01-KA103-046761,2019-2020,2019-03,2019-03,3.0,Staff mobility for teaching between Programme Countries,Music and performing arts,UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Staff,No,No,No,-,UK,MANCHESTER,ROYAL NORTHERN COLLEGE OF MUSIC,UK MANCHES10,LV,RIGA,Jazepa Vitola Latvijas Muzikas akademija,LV RIGA05,1.0
2017-2-UK01-KA105-036881,2018-2019,2018-04,2018-04,7.0,Youth Exchanges - Programme Countries,? Unknown ?,ES,??? - ? Unknown ?,Male,Learner,No,No,No,18,ES,Teo,Asociación Xuvenil Vrenza,-,UK,LONDON,NEW INTERNATIONAL COMPANY OF LIVE ARTS,-,1.0
2014-1-FR01-KA103-001281,2015-2016,2015-04,2015-06,68.0,Student mobility for traineeships between Programme Countries,Biological and related sciences,MA,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Male,Learner,No,No,No,19,FR,BREST CEDEX 3,UNIVERSITE DE BRETAGNE OCCIDENTALE,F  BREST01,UK,Londres,"Autocar - Electrical Equipment Co, Ltd",-,1.0
2015-1-FR01-KA103-013476,2015-2016,2015-10,2015-12,86.0,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24,FR,NANCY,ECOLED'ENSEIGNEMENT SUPERIEUR PRIVE ICN,F  NANCY37,UK,LONDON,LA TUA PASTA,-,1.0
2014-1-CZ01-KA102-000805,2015-2016,2015-10,2015-10,14.0,VET learners traineeships in vocational institutes abroad,Education,CZ,??? - ? Unknown ?,Female,Learner,No,No,No,16,CZ,Žamberk,"Stredni skola obchodu, remesel a sluzeb Zamberk",-,PL,Dzierżoniów,Zespol Szkol Nr 2 im. prof. Tadeusza Kotarbinskiego w Dzierzoniowie,-,3.0
2016-1-CZ01-KA105-023120,2017-2018,2017-04,2017-04,6.0,Mobility of youth workers - Partner Countries,? Unknown ?,UA,??? - ? Unknown ?,Male,Staff,No,No,No,25,UA,Kiev,"Non-Government Organization ""Unit""",-,CZ,Škrdlovice,GENESIS ZS,-,1.0
2014-1-RO01-KA103-000132,2014-2015,2014-09,2015-02,144.0,Student mobility for studies between Programme Countries,Philosophy and ethics,RO,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,19,RO,CRAIOVA,UNIVERSITATEA DIN CRAIOVA,RO CRAIOVA01,PL,TORUN,UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU,PL TORUN01,1.0
2017-1-ES01-KA103-035822,2017-2018,2017-09,2018-06,274.0,Student mobility for traineeships between Programme Countries,Chemistry,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,ES,SEVILLA,UNIVERSIDAD PABLO DE OLAVIDE,E  SEVILLA03,UK,Newcastle,UNIVERSITY OF NEWCASTLE UPON TYNE,UK NEWCAST01,1.0
2017-1-MK01-KA101-035190,2017-2018,2017-11,2017-12,5.0,Structured Courses/Training Events,Education,MK,??? - ? Unknown ?,Female,Staff,No,No,No,42,MK,"Vratnica, Jegunovce","Opstinsko Osnovno Uciliste SIMCE NASTOVSKI s.Vratnica, Jegunovce",-,BG,SOFIA,MEZHDUNARODEN CENTAR ZA RAZVITIE NAOBRAZOVANIETO I OBUCHENIETO,-,1.0
2019-1-LT01-KA103-060135,2019-2020,2019-09,2020-02,162.0,Student mobility for studies between Programme Countries,Political sciences and civics,UA,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,19,LT,KAUNAS,VYTAUTO DIDZIOJO UNIVERSITETAS,LT KAUNAS01,CZ,BRNO STRED,Masarykova univerzita,CZ BRNO05,1.0
2018-1-ES01-KA103-049416,2018-2019,2018-09,2019-06,269.0,Student mobility for studies between Programme Countries,"Languages, not further defined",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,20,ES,SANTIAGO DE COMPOSTELA,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,E  SANTIAG01,CZ,BRNO,Masarykova univerzita,CZ BRNO05,1.0
2017-2-FR02-KA105-013232,2017-2018,2017-11,2017-11,9.0,Mobility of youth workers - Programme Countries,? Unknown ?,FR,??? - ? Unknown ?,Male,Staff,No,Yes,No,31,FR,COGNAC,Association HEREMAKONO,-,FR,COGNAC,Association HEREMAKONO,-,1.0
2017-3-SK02-KA105-001586,2018-2019,2018-06,2018-06,14.0,Youth Exchanges - Programme Countries,? Unknown ?,FR,??? - ? Unknown ?,Male,Learner,No,No,No,21,FR,DINAN,ASSOCIATION INTERCULTURA,-,SK,Prešov,Cardio Youngs,-,1.0
2017-1-DE03-KA101-035321,2019-2020,2019-09,2019-09,5.0,Structured Courses/Training Events,Education science,DE,??? - ? Unknown ?,Female,Staff,No,No,No,32,DE,Berlin,Jane-Addams-Schule,-,PT,Leiria,Ludotempo - Associação de Promoção do Brincar,-,1.0
2018-1-LT01-KA116-046699,2018-2019,2018-08,2018-09,28.0,Mobility of VET learners (2 weeks up to 3 months),Education,LT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,47,LT,Kedainiai,Kedainiu profesinio rengimo centras,-,TR,fethiye/ölüdeniz,belcekiz beach club hotel,-,1.0
2014-2-LT02-KA105-000319,2014-2015,2014-11,2014-11,2.0,Youth Exchanges - Programme Countries,? Unknown ?,IT,??? - ? Unknown ?,Male,Learner,No,No,Yes,23,IT,Rome,Cooperativa Sociale Immaginaria A R.L.Onlus,-,LT,Daugirdiškės,Rudiskiu gimnazijos seniunu sueiga,-,1.0
2014-1-IT02-KA103-002741,2014-2015,2014-09,2015-02,154.0,Student mobility for studies between Programme Countries,"Languages, not elsewhere classified",IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24,IT,MODENA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,I  MODENA01,ES,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,E  BILBAO01,1.0
2017-1-FI01-KA103-034350,2018-2019,2018-02,2018-05,91.0,Student mobility for traineeships between Programme Countries,Nursing and midwifery,FI,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,28,FI,TAMPERE,TAMPEREEN AMMATTIKORKEAKOULU OY,SF TAMPERE06,UK,SALFORD,THE UNIVERSITY OF SALFORD,UK SALFORD01,1.0
2015-1-NL01-KA103-008687,2016-2017,2016-02,2016-06,150.0,Student mobility for studies between Programme Countries,"Health, not further defined",NL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,NL,Arnhem,STICHTING HOGESCHOOL VAN ARNHEM ENNIJMEGEN HAN,NL ARNHEM27,DK,Risskov,VIA UNIVERSITY COLLEGE,DK RISSKOV06,1.0
2015-1-TR01-KA105-014730,2015-2016,2015-10,2015-11,7.0,Youth Exchanges - Partner Countries,? Unknown ?,TR,??? - ? Unknown ?,Male,Learner,No,No,No,22,TR,Aksaray,Young Volunteers of Aksaray,-,TR,Aksaray,Young Volunteers of Aksaray,-,1.0
2015-1-DE01-KA103-001789,2015-2016,2015-08,2016-01,151.0,Student mobility for studies between Programme Countries,Sociology and cultural studies,DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,26,DE,Leipzig,UNIVERSITAET LEIPZIG,D  LEIPZIG01,EE,Tallinn,TALLINN UNIVERSITY,EE TALLINN05,1.0
2014-1-FR01-KA103-000896,2015-2016,2015-01,2015-07,180.0,Student mobility for traineeships between Programme Countries,Pharmacy,FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,FR,Strasbourg,UNIVERSITE DE STRASBOURG,F  STRASBO48,BE,Rixensart,GlaxoSmithKline,-,1.0
2019-1-IT02-KA103-061403,2019-2020,2019-09,2020-06,291.0,Student mobility for studies between Programme Countries,Sociology and cultural studies,IT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,29,IT,Roma,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,I  ROMA01,ES,CADIZ,UNIVERSIDAD DE CADIZ,E  CADIZ01,1.0
2016-1-FR01-KA101-023617,2018-2019,2018-02,2018-02,5.0,Job Shadowing,Literature and linguistics,FR,??? - ? Unknown ?,Female,Staff,No,No,No,53,FR,ANCENIS,LPO JOUBERT MAILLARD,-,FI,TAMPERE,Tampere High School of Technology,-,1.0
2016-1-DE01-KA103-002784,2016-2017,2016-09,2017-02,142.0,Student mobility for studies between Programme Countries,Economics,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,23,DE,BAYREUTH,UNIVERSITAET BAYREUTH,D  BAYREUT01,TR,ISTANBUL,MARMARA UNIVERSITY,TR ISTANBU05,1.0
2019-2-SK02-KA105-002205,2019-2020,2019-09,2019-09,8.0,Youth Exchanges - Partner Countries,? Unknown ?,UA,??? - ? Unknown ?,Male,Learner,No,No,Yes,20,UA,Kyiv,"NGO ""Step. Forward""",-,SK,Velke Levare,Protect work,-,1.0
2014-1-DE01-KA103-000152,2015-2016,2015-01,2015-06,139.0,Student mobility for studies between Programme Countries,Literature and linguistics,DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,25,DE,Hamburg,UNIVERSITAET HAMBURG,D  HAMBURG01,UK,Manchester,THE UNIVERSITY OF MANCHESTER,UK MANCHES01,1.0
2016-1-CZ01-KA103-023108,2017-2018,2017-05,2017-05,4.0,Staff mobility for teaching between Programme Countries,"Education, not further defined",CZ,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Staff,No,No,No,-,CZ,HRADEC KRALOVE,UNIVERZITA HRADEC KRALOVE,CZ HRADEC01,NL,Zwolle,"INTERACTUM UNIVERSITY OF APPLIED SCIENCES, TEACHER TRAINING DEPARTMENT HOGESCHOOL KATHOLIEKE PABO ZWOLLE",NL ZWOLLE06,1.0
2018-1-SI01-KA103-046866,2019-2020,2019-04,2019-04,5.0,Staff mobility for teaching between Programme Countries,"Languages, not further defined",SI,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Staff,No,No,No,-,SI,MARIBOR,UNIVERZA V MARIBORU,SI MARIBOR01,CZ,OLOMOUC,UNIVERZITA PALACKEHO V OLOMOUCI,CZ OLOMOUC01,2.0
2015-1-PT01-KA101-012628,2016-2017,2016-05,2016-05,5.0,Structured Courses/Training Events,Education,PT,??? - ? Unknown ?,Female,Staff,No,No,No,58,PT,Coimbra,Agrupamento de Escolas Rainha Santa Isabel,-,RO,PLOIESTI,Asociatia ERUDITUS,-,1.0
2016-1-CZ01-KA105-023654,2016-2017,2016-08,2016-08,8.0,Youth Exchanges - Partner Countries,? Unknown ?,PT,??? - ? Unknown ?,Female,Learner,No,No,No,20,PT,Sobreda,Grupo de Jovens Novo Mundo,-,CZ,Jindřichův Hradec,ICM Jindrichuv Hradec z.s.,-,1.0
2014-2-HU02-KA105-000325,2015-2016,2015-08,2015-08,10.0,Mobility of youth workers - Partner Countries,? Unknown ?,CZ,??? - ? Unknown ?,Male,Staff,No,No,No,27,CZ,Brno,Brno Connected,-,HU,Budapest,EGYESEK IFJUSAGI EGYESULET,-,1.0
2018-1-DK01-KA101-046945,2018-2019,2018-10,2018-10,3.0,Structured Courses/Training Events,Education,DK,??? - ? Unknown ?,Female,Staff,No,No,No,60,DK,Vejle,Skovgården,-,NO,Oslo,Challenging Learning Norway AS,-,1.0
2014-2-RO01-KA105-002659,2015-2016,2015-02,2015-02,4.0,Mobility of youth workers - Programme Countries,? Unknown ?,UK,??? - ? Unknown ?,Female,Staff,No,No,No,25,UK,Sheffield,Youth Discovery Ventures Ltd,-,RO,Iasi,ASOCIATIA SUPORTIS FOR BETTER,-,1.0
2016-1-DE01-KA103-002533,2017-2018,2017-02,2017-07,138.0,Student mobility for studies between Programme Countries,Education science,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,DE,Augsburg,UNIVERSITAET AUGSBURG,D  AUGSBUR01,IT,Foggia (FG),UNIVERSITA DEGLI STUDI DI FOGGIA,I  FOGGIA03,1.0
2014-1-BE02-KA103-000015,2015-2016,2015-09,2015-09,2.0,Staff mobility for teaching between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",BE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,-,BE,Hasselt,Hogeschool PXL,B  HASSELT22,ES,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA,E  VALENCI02,1.0
