"Universe_0_0","Universe_0_1","Cluster Membership"
0.2096878460961024,0.4171715944567897,"Cluster_15"
0.12359258717255395,0.26475794544113423,"Cluster_15"
0.11724053324856495,0.2683294081021316,"Cluster_15"
0.2929038481646759,0.35999427315187477,"Cluster_15"
0.12923154490768038,0.4807208212945362,"Cluster_15"
0.20304684195494535,0.517554756120846,"Cluster_15"
0.26434356165985307,0.16172678097868778,"Cluster_15"
0.3345099027011156,0.12515088894362703,"Cluster_15"
0.1937276605206341,0.11203395059107119,"Cluster_15"
0.08409111892395697,0.267116081801326,"Cluster_15"
0.15892425257158044,0.3499646346845113,"Cluster_15"
0.2995225741008617,0.3396683346168711,"Cluster_15"
0.14685582266344566,0.5051919685904752,"Cluster_15"
0.14447460336617238,0.2616532715095695,"Cluster_15"
0.2557298186060046,0.4325924966396347,"Cluster_15"
0.30209151991368555,0.34234116366958667,"Cluster_15"
0.24051441580291924,0.17816166602655592,"Cluster_15"
0.25394371683918465,0.29724000651990223,"Cluster_15"
0.1795419097902253,0.39270160161477907,"Cluster_15"
0.28264762717667347,0.4108937934721169,"Cluster_15"
0.1525460239599257,0.3068306257349165,"Cluster_15"
0.22222397596336485,0.2834137385721712,"Cluster_15"
0.38880132396330025,0.41824692599538865,"Cluster_15"
0.08359048923689782,0.31092853527059594,"Cluster_15"
0.03355795061507183,0.32853409057358596,"Cluster_15"
