"Universe_0_0","Universe_0_1","Cluster Membership"
0.34459647684800143,0.2867898267429825,"Cluster_13"
0.569236726189317,0.15597916626302955,"Cluster_13"
0.5415835027795672,0.26274373485295877,"Cluster_13"
0.4033597334830798,0.1611766106696844,"Cluster_13"
0.3354289381036082,0.1341588844558482,"Cluster_13"
0.34068595199129004,0.22086328652863757,"Cluster_13"
0.48058883867602276,0.31678509340551053,"Cluster_13"
0.48351540131988047,0.0856519238867993,"Cluster_13"
0.5244870921217429,0.19689147642874577,"Cluster_13"
0.45535232579338925,0.05582428940723316,"Cluster_13"
0.5344349962002926,0.3868697992675083,"Cluster_13"
0.40803677253033793,0.24192132972994596,"Cluster_13"
0.31608209686519806,0.22319292277619893,"Cluster_13"
0.4373773957854634,0.2572674446791646,"Cluster_13"
0.3093037116768531,0.047485482099434095,"Cluster_13"
0.5462137175380842,0.30116936131522576,"Cluster_13"
0.2437200237300179,0.2637768024520484,"Cluster_13"
0.4727800460399897,0.20305868913877212,"Cluster_13"
0.2154093857532805,0.04575501795353684,"Cluster_13"
0.2635352624524857,0.3436960169239041,"Cluster_13"
0.4152070296088938,0.29670337847714934,"Cluster_13"
0.32179637331804717,0.02732609504371203,"Cluster_13"
0.4068105415892247,0.24958714352470054,"Cluster_13"
0.4453333322731593,0.3286359644443508,"Cluster_13"
0.45735796523974714,0.25675368174676927,"Cluster_13"
