"Universe_0_0","Universe_0_1","Cluster Membership"
0.5976954141049533,0.4403582215979643,"Cluster_16"
0.961966764552008,0.7577384964506806,"Cluster_16"
0.7953083335724692,0.37153115210953336,"Cluster_16"
0.7449983794120448,0.62036962771219,"Cluster_16"
0.8601194390332161,0.500076567219348,"Cluster_16"
0.8830519686981393,0.5592753543177572,"Cluster_16"
0.7829465622724155,0.5847790392085552,"Cluster_16"
0.7664396054444983,0.44202505257282204,"Cluster_16"
0.5784112610850212,0.47307629207709745,"Cluster_16"
0.9101232052306871,0.637323972191924,"Cluster_16"
0.6980222559984048,0.3979596133609512,"Cluster_16"
0.6664676093989713,0.42326532819063445,"Cluster_16"
0.8362733712488628,0.5857728572739932,"Cluster_16"
0.6362307272712033,0.43570647848773736,"Cluster_16"
0.929471440168014,0.5451606821719646,"Cluster_16"
0.7624547037501073,0.3044945038749,"Cluster_16"
0.771846643127834,0.45791306034697266,"Cluster_16"
0.8817664119591657,0.4376029717863002,"Cluster_16"
0.8171507622085714,0.4215170390006712,"Cluster_16"
0.8011168994844275,0.6193880243770886,"Cluster_16"
0.84021694976855,0.31873670165380663,"Cluster_16"
0.8577457074022156,0.4112093419982955,"Cluster_16"
0.8151973693708161,0.7520254427942205,"Cluster_16"
0.7863701515087228,0.42579848759485905,"Cluster_16"
0.9139722077085998,0.5033852505827501,"Cluster_16"
